split,row_type,confidence_method,observation_mode,occlusion_level,view_set,candidate_count,distractor_type,num_samples,top_1_accuracy,top_3_accuracy,confidence_mean,coverage,selective_accuracy,abstained
test,condition,margin,oracle_crop,none,single_view,5,similar,2,1.0,1.0,0.3186520782102901,1.0,1.0,0
test,condition,margin,oracle_crop,none,single_view,8,different,2,1.0,1.0,0.4479517848749884,1.0,1.0,0
test,condition,margin,oracle_crop,none,single_view,8,similar_fallback,2,1.0,1.0,0.4479517848749884,1.0,1.0,0
test,condition,margin,oracle_crop,none,three_view_augmented,3,native,2,1.0,1.0,0.29182521877723816,1.0,1.0,0
test,condition,margin,oracle_crop,none,three_view_augmented,5,different,2,1.0,1.0,0.25733317690979407,1.0,1.0,0
test,condition,margin,oracle_crop,none,three_view_augmented,5,similar,2,1.0,1.0,0.19756835688442387,1.0,1.0,0
test,condition,margin,oracle_crop,none,three_view_augmented,8,different,2,1.0,1.0,0.22438572340548846,1.0,1.0,0
test,condition,margin,oracle_crop,none,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.22438572340548846,1.0,1.0,0
test,condition,margin,oracle_crop,none,two_view,3,native,2,1.0,1.0,0.19434361088374602,1.0,1.0,0
test,condition,margin,oracle_crop,none,two_view,5,different,2,1.0,1.0,0.15610128933238318,1.0,1.0,0
test,condition,margin,oracle_crop,none,two_view,5,similar,2,1.0,1.0,0.1234743737485452,1.0,1.0,0
test,condition,margin,oracle_crop,none,two_view,8,different,2,1.0,1.0,0.12031992939697188,1.0,1.0,0
test,condition,margin,oracle_crop,none,two_view,8,similar_fallback,2,1.0,1.0,0.12031992939697188,1.0,1.0,0
test,condition,margin,render_mask_assisted,heavy,single_view,3,native,2,1.0,1.0,0.5011925683311799,1.0,1.0,0
test,condition,margin,render_mask_assisted,heavy,single_view,5,different,2,0.5,0.5,0.050085355575376043,0.5,1.0,1
test,condition,margin,render_mask_assisted,heavy,single_view,5,similar,2,0.5,1.0,0.17366866756113009,1.0,0.5,0
test,condition,margin,render_mask_assisted,heavy,single_view,8,different,2,0.5,0.5,0.1252218930628578,0.5,1.0,1
test,condition,margin,render_mask_assisted,heavy,single_view,8,similar_fallback,2,0.5,0.5,0.1252218930628578,0.5,1.0,1
test,condition,margin,render_mask_assisted,heavy,three_view_augmented,3,native,2,1.0,1.0,0.41170057763087514,1.0,1.0,0
test,condition,margin,render_mask_assisted,heavy,three_view_augmented,5,different,2,0.0,0.5,0.16604962195620124,0.5,0.0,1
test,condition,margin,render_mask_assisted,heavy,three_view_augmented,5,similar,2,0.0,0.5,0.1259302096420772,1.0,0.0,0
test,condition,margin,render_mask_assisted,heavy,three_view_augmented,8,different,2,1.0,1.0,0.11767732213213843,0.5,1.0,1
test,condition,margin,render_mask_assisted,heavy,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.11767732213213843,0.5,1.0,1
test,condition,margin,render_mask_assisted,heavy,two_view,3,native,2,1.0,1.0,0.46708225124791003,1.0,1.0,0
test,condition,margin,render_mask_assisted,heavy,two_view,5,different,2,0.5,1.0,0.17938307890115943,0.5,0.0,1
test,condition,margin,render_mask_assisted,heavy,two_view,5,similar,2,0.5,0.5,0.03523957447297338,0.0,,2
test,condition,margin,render_mask_assisted,heavy,two_view,8,different,2,0.0,0.0,0.11011410382569423,1.0,0.0,0
test,condition,margin,render_mask_assisted,heavy,two_view,8,similar_fallback,2,0.0,0.0,0.11011410382569423,1.0,0.0,0
test,condition,margin,render_mask_assisted,light,single_view,3,native,2,1.0,1.0,0.4486752834699131,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,single_view,5,different,2,1.0,1.0,0.28209467387505094,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,single_view,5,similar,2,0.5,1.0,0.22442618979394996,0.5,1.0,1
test,condition,margin,render_mask_assisted,light,single_view,8,different,2,1.0,1.0,0.08309668799607053,0.5,1.0,1
test,condition,margin,render_mask_assisted,light,single_view,8,similar_fallback,2,1.0,1.0,0.08309668799607053,0.5,1.0,1
test,condition,margin,render_mask_assisted,light,three_view_augmented,3,native,2,1.0,1.0,0.23267107952498794,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,three_view_augmented,5,different,2,1.0,1.0,0.15126628018578847,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,three_view_augmented,5,similar,2,0.5,1.0,0.15572252352637136,0.5,1.0,1
test,condition,margin,render_mask_assisted,light,three_view_augmented,8,different,2,1.0,1.0,0.2512883933100585,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.2512883933100585,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,two_view,3,native,2,1.0,1.0,0.21096405332616852,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,two_view,5,different,2,1.0,1.0,0.13848230672431713,1.0,1.0,0
test,condition,margin,render_mask_assisted,light,two_view,5,similar,2,1.0,1.0,0.09828685113350516,0.5,1.0,1
test,condition,margin,render_mask_assisted,light,two_view,8,different,2,1.0,1.0,0.028842939535921045,0.0,,2
test,condition,margin,render_mask_assisted,light,two_view,8,similar_fallback,2,1.0,1.0,0.028842939535921045,0.0,,2
test,condition,margin,render_mask_assisted,moderate,single_view,3,native,2,1.0,1.0,0.18841159572288846,1.0,1.0,0
test,condition,margin,render_mask_assisted,moderate,single_view,5,different,2,0.5,0.5,0.08013075265601874,0.5,0.0,1
test,condition,margin,render_mask_assisted,moderate,single_view,5,similar,2,0.5,1.0,0.017647470021147384,0.0,,2
test,condition,margin,render_mask_assisted,moderate,single_view,8,different,2,0.5,0.5,0.05431084225719257,0.5,0.0,1
test,condition,margin,render_mask_assisted,moderate,single_view,8,similar_fallback,2,0.5,0.5,0.05431084225719257,0.5,0.0,1
test,condition,margin,render_mask_assisted,moderate,three_view_augmented,3,native,2,1.0,1.0,0.16141847524791378,1.0,1.0,0
test,condition,margin,render_mask_assisted,moderate,three_view_augmented,5,different,2,1.0,1.0,0.10012293762678703,1.0,1.0,0
test,condition,margin,render_mask_assisted,moderate,three_view_augmented,5,similar,2,1.0,1.0,0.22458578942367524,1.0,1.0,0
test,condition,margin,render_mask_assisted,moderate,three_view_augmented,8,different,2,0.5,0.5,0.058709875176221296,0.5,1.0,1
test,condition,margin,render_mask_assisted,moderate,three_view_augmented,8,similar_fallback,2,0.5,0.5,0.058709875176221296,0.5,1.0,1
test,condition,margin,render_mask_assisted,moderate,two_view,3,native,2,0.5,1.0,0.1368642040812944,1.0,0.5,0
test,condition,margin,render_mask_assisted,moderate,two_view,5,different,2,0.0,1.0,0.03941190438719409,0.5,0.0,1
test,condition,margin,render_mask_assisted,moderate,two_view,5,similar,2,0.0,1.0,0.118844915615478,0.5,0.0,1
test,condition,margin,render_mask_assisted,moderate,two_view,8,different,2,0.5,0.5,0.14031145899660274,0.5,1.0,1
test,condition,margin,render_mask_assisted,moderate,two_view,8,similar_fallback,2,0.5,0.5,0.14031145899660274,0.5,1.0,1
test,condition,margin,render_mask_assisted,none,single_view,3,native,2,1.0,1.0,0.5791439848768487,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,single_view,5,different,2,1.0,1.0,0.5378345125251585,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,single_view,5,similar,2,1.0,1.0,0.36375458466343813,0.5,1.0,1
test,condition,margin,render_mask_assisted,none,single_view,8,different,2,1.0,1.0,0.5378345125251585,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,single_view,8,similar_fallback,2,1.0,1.0,0.5378345125251585,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,three_view_augmented,3,native,2,1.0,1.0,0.38509163212676817,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,three_view_augmented,5,different,2,1.0,1.0,0.3475408029837238,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,three_view_augmented,5,similar,2,1.0,1.0,0.25644449616292186,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,three_view_augmented,8,different,2,1.0,1.0,0.3278447400034921,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.3278447400034921,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,two_view,3,native,2,1.0,1.0,0.28749437555308843,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,two_view,5,different,2,1.0,1.0,0.23548283647418672,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,two_view,5,similar,2,1.0,1.0,0.18020504389222494,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,two_view,8,different,2,1.0,1.0,0.21836418609488856,1.0,1.0,0
test,condition,margin,render_mask_assisted,none,two_view,8,similar_fallback,2,1.0,1.0,0.21836418609488856,1.0,1.0,0
